,UU2010,LIBUU2010,DEP,ACT_IN,ACT_OUT,ACT_TOTAL,POP2010,LIBBIS
827,33108,Macau,33,322,1415,1737,3486,Macau
828,33109,La Brède,33,347,1473,1820,3825,La Brède
829,33110,Saint-Laurent-Médoc,33,504,1347,1851,4221,Saint-Laurent-Médoc
830,33111,Castelnau-de-Médoc,33,412,1220,1632,3728,Castelnau-de-Médoc
831,33112,Marcheprime,33,380,1716,2096,4301,Marcheprime
832,33113,Ludon-Médoc,33,387,1758,2145,4160,Ludon-Médoc
833,33114,Créon,33,476,1348,1824,4246,Créon
834,33115,Belin-Béliet,33,556,1160,1716,4379,Belin-Béliet
835,33116,Soussans,33,438,1511,1950,4360,Soussans
836,33117,Saint-Macaire,33,359,1363,1722,4480,Saint-Macaire
837,33118,Le Barp,33,502,1629,2131,4557,Le Barp
838,33119,Saint-Savin - Saint-Yzan-de-Soudiac,33,499,1575,2074,5020,Saint-Savin - Saint-Yzan-de-Soudiac
839,33120,Podensac,33,416,1509,1925,4650,Podensac
840,33121,Cadillac,33,480,1564,2044,4747,Cadillac
841,33122,Bazas,33,917,745,1662,4715,Bazas
842,33123,La Lande-de-Fronsac,33,366,2025,2392,5092,La Lande-de-Fronsac
843,33124,Bourg,33,563,1503,2066,5014,Bourg
844,33201,Pauillac,33,976,788,1764,5075,Pauillac
845,33202,Saint-Seurin-sur-l'Isle,33,522,1572,2095,5984,Saint-Seurin-sur-l'Isle
846,33203,Arès,33,616,1152,1768,5576,Arès
847,33204,Salles,33,719,1956,2675,6158,Salles
848,33205,Mios,33,712,2770,3482,7219,Mios
849,33206,La Réole,33,975,1320,2295,6612,La Réole
850,33207,Portets,33,616,2842,3459,7628,Portets
851,33208,Lesparre-Médoc,33,1128,1466,2594,7615,Lesparre-Médoc
852,33209,Lège-Cap-Ferret,33,1831,1193,3024,7714,Lège-Cap-Ferret
853,33210,Cézac,33,780,3405,4187,9034,Cézac
854,33301,Blaye,33,1159,2796,3955,10058,Blaye
855,33302,Coutras,33,1444,2948,4392,11799,Coutras
