,Unnamed: 0,Source,Target,O_AU2010,D_AU2010,O_DEP,D_DEP,O_LIBBIS,D_LIBBIS,O_DEP_NAME,D_DEP_NAME,Weight,O_ACT_OUT,O_ACT_TOTAL,D_ACT_OUT,D_ACT_TOTAL,Dist,Duration,D_ACT_IN
3257,3257,13111,759,3,3,13,13,Ventabren,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,656,1596,1884,268025.0,591048.0,15260,1274,323023.0
3258,3258,13201,759,997,3,13,13,La Roque-d'Anthéron,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,444,1142,2101,268025.0,591048.0,36416,2080,323023.0
3259,3259,13202,757,3,13,13,13,Roquefort-la-Bédoule,Toulon,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,132,1606,2030,7154.0,14063.0,21312,1021,6909.0
3260,3260,13202,759,3,3,13,13,Roquefort-la-Bédoule,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,396,1606,2030,268025.0,591048.0,50127,1921,323023.0
3261,3261,13203,759,3,3,13,13,Puy-Sainte-Réparade,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,635,1433,2212,268025.0,591048.0,30220,1484,323023.0
3262,3262,13204,759,3,3,13,13,Ensuès-la-Redonne,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,568,1925,2295,268025.0,591048.0,29237,1283,323023.0
3263,3263,13205,759,3,3,13,13,Saint-Cannat,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,898,1754,2336,268025.0,591048.0,24324,1349,323023.0
3264,3264,13206,13501,997,143,13,13,Sénas,Salon-de-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,422,1754,2642,12526.0,23287.0,12602,1015,10761.0
3265,3265,13207,759,997,3,13,13,Eyguières,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,267,2075,2785,268025.0,591048.0,52586,2476,323023.0
3266,3266,13207,13501,997,143,13,13,Eyguières,Salon-de-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,668,2075,2785,12526.0,23287.0,9499,961,10761.0
3267,3267,13208,759,3,3,13,13,La Fare-les-Oliviers,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,1159,2375,3086,268025.0,591048.0,26356,1459,323023.0
3268,3268,13208,13501,3,143,13,13,La Fare-les-Oliviers,Salon-de-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,174,2375,3086,12526.0,23287.0,15273,1105,10761.0
3269,3269,13209,757,3,13,13,13,Carnoux-en-Provence,Toulon,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,125,2070,2863,7154.0,14063.0,20866,1127,6909.0
3270,3270,13209,759,3,3,13,13,Carnoux-en-Provence,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,828,2070,2863,268025.0,591048.0,49681,2027,323023.0
3271,3271,13209,13211,3,3,13,13,Carnoux-en-Provence,Cassis,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,117,2070,2863,1673.0,3129.0,7229,803,1456.0
3272,3272,13210,759,3,3,13,13,Lançon-Provence,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,1019,2826,3730,268025.0,591048.0,34569,1815,323023.0
3273,3273,13210,13501,3,143,13,13,Lançon-Provence,Salon-de-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,637,2826,3730,12526.0,23287.0,7985,764,10761.0
3274,3274,13211,757,3,13,13,13,Cassis,Toulon,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,200,1673,3129,7154.0,14063.0,28994,1657,6909.0
3275,3275,13211,759,3,3,13,13,Cassis,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,437,1673,3129,268025.0,591048.0,57809,2557,323023.0
3276,3276,13212,759,3,3,13,13,Peyrolles-en-Provence,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,1280,2780,3683,268025.0,591048.0,30148,1530,323023.0
3277,3277,13213,759,3,3,13,13,Lambesc,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,1152,2684,3936,268025.0,591048.0,29562,1787,323023.0
3278,3278,13213,13205,3,3,13,13,Lambesc,Saint-Cannat,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,112,2684,3936,1754.0,2336.0,5238,438,582.0
3279,3279,13213,13501,3,143,13,13,Lambesc,Salon-de-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,280,2684,3936,12526.0,23287.0,16239,1261,10761.0
3280,3280,13214,552,412,141,13,13,Port-Saint-Louis-du-Rhône,Arles,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,109,1129,3036,5503.0,18994.0,40313,2131,13491.0
3281,3281,13214,759,412,3,13,13,Port-Saint-Louis-du-Rhône,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,476,1129,3036,268025.0,591048.0,71306,3131,323023.0
3282,3282,13215,759,997,3,13,13,Mallemort,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,336,3121,4455,268025.0,591048.0,58036,2458,323023.0
3283,3283,13215,13501,997,143,13,13,Mallemort,Salon-de-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,650,3121,4455,12526.0,23287.0,15961,1189,10761.0
3284,3284,13301,552,997,141,13,13,Saint-Martin-de-Crau,Arles,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,641,2439,4365,5503.0,18994.0,17955,988,13491.0
3285,3285,13301,759,997,3,13,13,Saint-Martin-de-Crau,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,691,2439,4365,268025.0,591048.0,61686,2452,323023.0
3286,3286,13301,13501,997,143,13,13,Saint-Martin-de-Crau,Salon-de-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,142,2439,4365,12526.0,23287.0,25719,1359,10761.0
3287,3287,13302,456,319,200,13,13,Saint-Rémy-de-Provence,Beaucaire,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,129,2629,5373,2308.0,4448.0,16796,1373,2140.0
3288,3288,13302,552,319,141,13,13,Saint-Rémy-de-Provence,Arles,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,303,2629,5373,5503.0,18994.0,25129,1916,13491.0
3289,3289,13303,759,3,3,13,13,Sausset-les-Pins - Carry-le-Rouet,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,1537,4213,5296,268025.0,591048.0,30988,1392,323023.0
3290,3290,13501,759,143,3,13,13,Salon-de-Provence,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,4877,12526,23287,268025.0,591048.0,39795,1934,323023.0
3291,3291,13501,13206,143,997,13,13,Salon-de-Provence,Sénas,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,132,12526,23287,1754.0,2642.0,12504,1030,888.0
3292,3292,13501,13207,143,997,13,13,Salon-de-Provence,Eyguières,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,135,12526,23287,2075.0,2785.0,9312,1023,710.0
3293,3293,13501,13210,143,3,13,13,Salon-de-Provence,Lançon-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,365,12526,23287,2826.0,3730.0,8071,767,904.0
3294,3294,13501,13213,143,3,13,13,Salon-de-Provence,Lambesc,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,212,12526,23287,2684.0,3936.0,16961,1301,1252.0
3296,3296,84104,759,998,3,84,13,Villelaure,Marseille - Aix-en-Provence,VAUCLUSE,BOUCHES-DU-RHONE,284,1184,1492,268025.0,591048.0,35550,1755,323023.0
3297,3297,84108,759,0,3,84,13,La Tour-d'Aigues,Marseille - Aix-en-Provence,VAUCLUSE,BOUCHES-DU-RHONE,234,1024,1712,268025.0,591048.0,37397,1883,323023.0
3298,3298,84202,759,424,3,84,13,Cadenet,Marseille - Aix-en-Provence,VAUCLUSE,BOUCHES-DU-RHONE,350,2041,3138,268025.0,591048.0,41681,2077,323023.0
3299,3299,84303,759,997,3,84,13,Pertuis,Marseille - Aix-en-Provence,VAUCLUSE,BOUCHES-DU-RHONE,1753,4186,7612,268025.0,591048.0,32184,1567,323023.0
3300,3300,84303,13203,997,3,84,13,Pertuis,Puy-Sainte-Réparade,VAUCLUSE,BOUCHES-DU-RHONE,136,4186,7612,1433.0,2212.0,10788,832,779.0
3301,3301,83103,757,13,13,83,13,Néoules,Toulon,VAR,BOUCHES-DU-RHONE,176,796,1016,7154.0,14063.0,59963,3685,6909.0
3302,3302,83110,757,13,13,83,13,Rocbaron,Toulon,VAR,BOUCHES-DU-RHONE,268,1198,1441,7154.0,14063.0,101853,3968,6909.0
3303,3303,83111,757,13,13,83,13,Puget-Ville,Toulon,VAR,BOUCHES-DU-RHONE,631,1144,1493,7154.0,14063.0,90901,3741,6909.0
3304,3304,83113,757,997,13,83,13,Gonfaron,Toulon,VAR,BOUCHES-DU-RHONE,180,1061,1524,7154.0,14063.0,104523,4427,6909.0
3305,3305,83115,757,13,13,83,13,Forcalqueiret,Toulon,VAR,BOUCHES-DU-RHONE,152,1332,1637,7154.0,14063.0,96927,3665,6909.0
